Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
2645,16.5,0,0
2650,16.8,0,0
2655,17.4,0,0
2660,17.9,0,0
2665,18.5,0,0
2670,19.1,0,0
2675,19.7,0,0
2680,20.4,0,0
2685,21.1,0,0
2690,21.8,0,0
2695,22.6,0,0
2700,23.5,0,0
2705,24.5,0,0
2710,25.5,0,0
2715,26.7,0,0
2720,27.8,0,0
2725,29.3,0,0
2730,30.7,0,0
2735,32.5,0,0
2740,34.1,0,0
2745,36.1,0,0
2750,38.4,0,0
2755,41.1,0,0
2760,44.2,0,0
2765,47.7,0,0
2770,51.9,0,0
2775,56.7,0,0
2780,62.7,0,0
2785,70,0,0
2790,79.5,0,0
2795,91.9,0,0
2800,96.7,0,0
2805,87.1,0,0
2810,74.8,0,0
2815,70,0,0
2820,79.3,0,0
2825,56,0,0
2830,29.9,0,0
2835,0,0,0
2840,0,0,0
2845,0,0,0
2850,0,0,0
2855,0,0,0
2860,0,0,0
2865,0,0,0
2870,0,0,0
2875,0,0,0
2880,0,0,0
2890,0,0,
2895,1.76,1.76,
2900,2.45,2.45,
2905,2.20,2.20,
2910,0.933,0.933,
2915,0,0,
2920,0,0,
2925,0,0,
2930,0,0,
2935,0,0,
2940,2.42,2.42,
2945,9.72,9.72,10.9
2950,17.0,17.0,16.4
2955,25.1,25.1,24.2
2960,30.4,30.3,30.5
2965,34.5,34.5,34.7
2970,35.1,35.1,34.7
2975,26.7,26.8,26.3
2980,20.5,20.5,20.5
2985,17.6,17.7,17.6
2990,17.7,17.7,17.7
2995,15.5,15.5,15.4
3000,12.5,12.5,12.6
3005,12.5,12.5,12.4
3010,10.5,10.5,10.5
3015,6.27,6.27,6.39
3020,2.13,2.13,2.31
3025,0,0,0.0667
3030,0,0,0
3035,0,0,0
3040,0,0,0
3045,0,0,0
3050,19.5,19.5,21.1
3055,61.2,61.2,62.6
3060,103,103,104
3065,125,125,125
3070,125,125,125
3075,125,125,125
3080,115,115,114
3085,100,99.9,100
3090,99.9,99.9,99.9
3095,110,110,111
