"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 04:51:40,0.533,0.133,938,0.867,,,,,,,,,,,,,,
2026-04-20 04:51:45,0.467,0.0667,941,0.867,,,,,,,,,,,,,,
2026-04-20 04:51:50,0.533,0.0667,937,0.800,,,,,,,,,,,,,,
2026-04-20 04:51:55,0.533,0.133,944,0.733,,,,,,,,,,,,,,
2026-04-20 04:52:00,0.533,0.133,937,0.800,,,,,,,,,,,,,,
2026-04-20 04:52:05,0.467,0.0667,935,0.733,,,,,,,,,,,,,,
2026-04-20 04:52:10,0.467,0.0667,931,0.733,,,,,,,,,,,,,,
2026-04-20 04:52:15,0.467,0.0667,930,0.667,,,,,,,,,,,,,,
2026-04-20 04:52:20,0.533,0.0667,929,0.733,,,,,,,,,,,,,,
2026-04-20 04:52:25,0.467,0,926,0.733,,,,,,,,,,,,,,
2026-04-20 04:52:30,0.533,0.0667,927,0.800,,,,,,,,,,,,,,
2026-04-20 04:52:35,0.533,0.0667,927,0.733,,,,,,,,,,,,,,
2026-04-20 04:52:40,0.600,0.0667,924,0.733,,,,,,,,,,,,,,
2026-04-20 04:52:45,0.533,0.0667,921,0.733,,,,,,,,,,,,,,
2026-04-20 04:52:50,0.533,0.0667,918,0.800,,,,,,,,,,,,,,
2026-04-20 04:52:55,0.533,0.133,917,0.800,,,,,,,,,,,,,,
2026-04-20 04:53:00,0.600,0.133,918,0.733,,,,,,,,,,,,,,
2026-04-20 04:53:05,0.533,0.133,910,0.800,,,,,,,,,,,,,,
2026-04-20 04:53:10,0.533,0.0667,910,0.733,,,,,,,,,,,,,,
2026-04-20 04:53:15,0.467,0.0667,900,0.800,,,,,,,,,,,,,,
2026-04-20 04:53:20,0.533,0.0667,900,0.667,,,,,,,,,,,,,,
2026-04-20 04:53:25,0.467,0.0667,897,0.733,,,,,,,,,,,,,,
2026-04-20 04:53:30,0.533,0.133,898,0.667,,,,,,,,,,,,,,
2026-04-20 04:53:35,0.400,0.133,896,0.867,,,,,,,,,,,,,,
2026-04-20 04:53:40,0.533,0.200,886,0.933,,,,,,,,,,,,,,
2026-04-20 04:53:45,0.400,0.0667,884,0.934,,,,,,,,,,,,,,
2026-04-20 04:53:50,0.533,0.0667,888,0.800,,,,,,,,,,,,,,
2026-04-20 04:53:55,0.400,0.0667,894,0.733,,,,,,,,,,,,,,
2026-04-20 04:54:00,0.533,0.133,887,0.800,,,,,,,,,,,,,,
2026-04-20 04:54:05,0.467,0.133,881,0.800,,,,,,,,,,,,,,
2026-04-20 04:54:10,0.533,0.133,873,0.733,,,,,,,,,,,,,,
2026-04-20 04:54:15,0.467,0.0667,870,0.733,,,,,,,,,,,,,,
2026-04-20 04:54:20,0.467,0.0667,865,0.733,,,,,,,,,,,,,,
