Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
655,0.467,0.0667,931,0.733,,,,,,,,,,,,,,
660,0.467,0.0667,930,0.667,,,,,,,,,,,,,,
665,0.533,0.0667,929,0.733,,,,,,,,,,,,,,
670,0.467,0,926,0.733,,,,,,,,,,,,,,
675,0.533,0.0667,927,0.800,,,,,,,,,,,,,,
680,0.533,0.0667,927,0.733,,,,,,,,,,,,,,
685,0.600,0.0667,924,0.733,,,,,,,,,,,,,,
690,0.533,0.0667,921,0.733,,,,,,,,,,,,,,
695,0.533,0.0667,918,0.800,,,,,,,,,,,,,,
700,0.533,0.133,917,0.800,,,,,,,,,,,,,,
705,0.600,0.133,918,0.733,,,,,,,,,,,,,,
710,0.533,0.133,910,0.800,,,,,,,,,,,,,,
715,0.533,0.0667,910,0.733,,,,,,,,,,,,,,
720,0.467,0.0667,900,0.800,,,,,,,,,,,,,,
725,0.533,0.0667,900,0.667,,,,,,,,,,,,,,
730,0.467,0.0667,897,0.733,,,,,,,,,,,,,,
735,0.533,0.133,898,0.667,,,,,,,,,,,,,,
740,0.400,0.133,896,0.867,,,,,,,,,,,,,,
745,0.533,0.200,886,0.933,,,,,,,,,,,,,,
750,0.400,0.0667,884,0.934,,,,,,,,,,,,,,
755,0.533,0.0667,888,0.800,,,,,,,,,,,,,,
760,0.400,0.0667,894,0.733,,,,,,,,,,,,,,
765,0.533,0.133,887,0.800,,,,,,,,,,,,,,
770,0.467,0.133,881,0.800,,,,,,,,,,,,,,
775,0.533,0.133,873,0.733,,,,,,,,,,,,,,
780,0.467,0.0667,870,0.733,,,,,,,,,,,,,,
785,0.467,0.0667,865,0.733,,,,,,,,,,,,,,
790,0.467,0.0667,865,0.800,,,,,,,,,,,,,,
795,0.467,0.0667,855,0.800,,,,,,,,,,,,,,
800,0.467,0.0667,838,0.800,,,,,,,,,,,,,,
805,0.533,0,824,0.800,,,,,,,,,,,,,,
810,0.467,0.0667,804,0.800,,,,,,,,,,,,,,
815,0.600,0.133,800,0.800,,,,,,,,,,,,,,
820,0.467,0.133,805,0.733,,,,,,,,,,,,,,
825,0.600,0.0667,827,0.733,,,,,,,,,,,,,,
830,0.533,0.0667,839,0.733,,,,,,,,,,,,,,
835,0.533,0.0667,840,0.800,,,,,,,,,,,,,,
840,0.467,0.0667,845,0.800,,,,,,,,,,,,,,
845,0.400,0.0667,695,0.733,,,,,,,,,,,,,,
850,0.400,0.0667,415,0.667,,,,,,,,,,,,,,
855,0.333,0.133,131,0.667,,,,,,,,,,,,,,
860,0.333,0.100,0.733,0.733,,,,,,,,,,,,,,
865,0.333,0.122,0.524,0.551,,,,,,,,,,,,,,
870,0.400,,0.399,0.351,,,,,,,,,,,,,,
875,0.333,,0.467,0.467,,,,,,,,,,,,,,
880,0.333,0.392,0.702,0.786,,,,,,,0.710,0.735,,,,,,
885,0.267,0.450,0.977,0.892,,,,,,,1.04,0.930,,,,,,
890,0.333,0.533,1.27,1.20,,,,,,,1.27,1.20,,,,,,
895,0.333,0.200,1.07,0.933,,,,,,,1,1.07,,,,,,
900,0.400,0.0667,0.933,1.00,,,,,,,0.800,1.00,,,,,,
905,0.333,0.0667,0.867,0.800,,,,,,,0.867,0.867,,,,,,
910,0.333,0.0667,1.00,0.867,,,,,,,0.800,0.800,,,,,,
915,0.267,0.467,1.40,0.800,,,,,,,1.07,0.933,,,,,,
920,0.400,1.20,2.67,1.20,,,,,,,1.47,1.27,,,,,,
925,0.333,2.73,6.33,2.07,,,,,,,2.80,2.27,,,,,,
930,0.333,3.73,10.00,3.27,,,,,,,3.73,3.47,,,,,,
935,0.267,4.40,12.8,4.07,,,,,,,4.47,4.27,,,,,,
940,0.400,4.40,13,4.53,,,,,,,4.47,4.47,,,,,,
945,0.400,4.13,12.7,4.53,,,,,,,4.33,4.33,,,,,,
950,0.333,3.47,11.5,4.27,,,,,,,3.87,4.13,,,,,,
955,0.200,2.07,8.20,3.27,,,,,,,2.73,3.20,,,,,,
960,0.267,0.933,4.40,2.20,,,,,,,1.73,2.00,,,,,,
965,0.267,0.200,1.47,1.27,,,,,,,1.07,1.07,,,,,,
970,0.333,0.200,1.07,1.00,,,,,,,0.933,0.867,,,,,,
975,0.333,0.933,1.53,0.867,,,,,,,1.33,0.933,,,,,,
980,0.333,4.60,8.20,2.40,,,,,,,4.00,2.87,,,,,,
985,0.333,10.1,22.6,7.00,,,,,,,9.73,7.73,,,,,,
990,0.333,14.7,37.5,12.6,,,,,,,14.9,13.3,,,,,,
995,0.333,16.7,46.3,16.7,,,,,,,17.9,17,,,,,,
1000,0.333,16.7,47.4,17.8,,,,,,,18,17.7,,,,,,
1005,0.267,16,47.7,18,,,,,,,17.9,17.8,,,,,,
1010,0.267,12.4,42.2,16.6,,,,,,,15.3,16.1,,,,,,
1015,0.267,6.87,27.8,12.0,,,,,,,9.53,11.1,,,,,,
1020,0.333,2.20,12.3,6.27,,,,,,,4.13,5.53,,,,,,
1025,0.333,0.133,2.33,2.07,,,,,,,1.00,1.60,,,,,,
1030,0.267,0.0667,1.000,0.933,,,,,,,0.933,0.933,,,,,,
1035,0.200,3.60,4.40,1.27,,,,,,,2.73,1.73,,,,,,
1040,0.267,13.4,25.5,7.47,,,,,,,12.9,9.07,,,,,,
1045,0.333,23.9,54.5,18.8,,,,,,,24.3,20.3,,,,,,
1050,0.400,30.9,80.2,29.8,,,,,,,34.1,31.1,,,,,,
1055,0.333,31.7,88.2,35.3,,,,,,,35.3,35.3,,,,,,
1060,0.333,31.6,88.5,35.5,,,,,,,35.5,35.4,,,,,,
1065,0.267,28.1,85.9,35.1,,,,,,,33.6,34.5,,,,,,
1070,0.333,18.7,66.3,28.9,,,,,,,23.8,27.3,,,,,,
1075,0.267,8.27,36.9,17.6,,,,,,,12.3,16.1,,,,,,
1080,0.333,1.20,10.5,6.67,,,,,,,2.53,5.40,,,,,,
1085,0.267,0.133,1.07,1.13,,,,,,,1.000,1.000,,,,,,
1090,0.267,0.467,1.07,0.867,,,,,,,0.933,0.867,,,,,,
1095,0.267,4.67,7.53,2.27,,,,,,,4.60,2.80,,,,,,
1100,0.267,13.2,26.5,8.33,,,,,,,12.9,9.80,,,,,,
1105,0.400,23.0,54.3,18.7,,,,,,,24.0,20.6,,,,,,
1110,0.333,29.0,76.4,28.4,,,,,,,31.9,29.9,,,,,,
1115,0.467,30.8,85.7,34.0,,,,,,,34.9,34.3,,,,,,
1120,0.333,30.9,86.4,34.9,,,,,,,35.1,34.9,,,,,,
1125,0.400,30.9,85.7,34.9,,,,,,,34.9,34.7,,,,,,
1130,0.267,30.7,85.4,34.7,,,,,,,34.7,34.7,,,,,,
1135,0.333,31.1,85.3,34.6,,,,,,,34.7,34.7,,,,,,
1140,0.333,32.0,87.1,35.1,,,,,,,35.7,35.3,,,,,,
1145,0.333,33.5,91.1,36.5,,,,,,,37.4,36.8,,,,,,
1150,0.333,34.7,95.5,38.3,,,,,,,39.3,38.5,,,,,,
1155,0.333,35.1,98.3,39.9,,,,,,,40.4,40,,,,,,
1160,0.333,35.2,98.7,40.5,,,,,,,40.5,40.4,,,,,,
1165,0.333,35,98.5,40.4,,,,,,,40.1,40.3,,,,,,
1170,0.333,35.1,98.6,40.1,,,,,,,40,40.4,,,,,,
