"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 10:15:45,0.533,0.133,942,0.800,,,,,,,,,,,,,,
2026-04-20 10:15:50,0.600,0.0667,938,0.733,,,,,,,,,,,,,,
2026-04-20 10:15:55,0.533,0.0667,941,0.667,,,,,,,,,,,,,,
2026-04-20 10:16:00,0.467,0.0667,934,0.800,,,,,,,,,,,,,,
2026-04-20 10:16:05,0.467,0.0667,938,0.733,,,,,,,,,,,,,,
2026-04-20 10:16:10,0.600,0.0667,926,0.800,,,,,,,,,,,,,,
2026-04-20 10:16:15,0.600,0.0667,933,0.800,,,,,,,,,,,,,,
2026-04-20 10:16:20,0.533,0.133,922,0.867,,,,,,,,,,,,,,
2026-04-20 10:16:25,0.533,0.133,929,0.867,,,,,,,,,,,,,,
2026-04-20 10:16:30,0.533,0.133,921,0.800,,,,,,,,,,,,,,
2026-04-20 10:16:35,0.600,0.0667,923,0.800,,,,,,,,,,,,,,
2026-04-20 10:16:40,0.533,0.0667,914,0.733,,,,,,,,,,,,,,
2026-04-20 10:16:45,0.533,0.0667,915,0.800,,,,,,,,,,,,,,
2026-04-20 10:16:50,0.467,0.0667,914,0.800,,,,,,,,,,,,,,
2026-04-20 10:16:55,0.467,0.0667,915,0.800,,,,,,,,,,,,,,
2026-04-20 10:17:00,0.533,0.0667,912,0.733,,,,,,,,,,,,,,
2026-04-20 10:17:05,0.467,0.133,910,0.733,,,,,,,,,,,,,,
2026-04-20 10:17:10,0.533,0.133,902,0.800,,,,,,,,,,,,,,
2026-04-20 10:17:15,0.467,0.0667,906,0.733,,,,,,,,,,,,,,
2026-04-20 10:17:20,0.600,0,906,0.733,,,,,,,,,,,,,,
2026-04-20 10:17:25,0.533,0.0667,905,0.734,,,,,,,,,,,,,,
2026-04-20 10:17:30,0.533,0.133,894,0.800,,,,,,,,,,,,,,
2026-04-20 10:17:35,0.600,0.200,891,0.800,,,,,,,,,,,,,,
2026-04-20 10:17:40,0.533,0.200,892,0.800,,,,,,,,,,,,,,
2026-04-20 10:17:45,0.600,0.133,891,0.800,,,,,,,,,,,,,,
2026-04-20 10:17:50,0.400,0.0667,875,0.800,,,,,,,,,,,,,,
2026-04-20 10:17:55,0.400,0.0667,860,0.800,,,,,,,,,,,,,,
2026-04-20 10:18:00,0.467,0.0667,845,0.800,,,,,,,,,,,,,,
2026-04-20 10:18:05,0.533,0.0667,831,0.800,,,,,,,,,,,,,,
2026-04-20 10:18:10,0.600,0.0667,824,0.800,,,,,,,,,,,,,,
2026-04-20 10:18:15,0.533,0.133,825,0.933,,,,,,,,,,,,,,
