Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
955,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
960,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
965,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
970,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
975,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
980,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
985,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
990,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
995,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1000,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1005,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1010,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1015,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1020,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1025,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1030,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1035,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1040,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
1045,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
