Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
3886,1081,1081,1081
3891,1067,1067,1044
3896,801,801,756
3901,442,442,397
3906,94.3,94.3,72.1
3911,0.200,0.200,0
3916,191,190,234
3921,545,545,589
3926,666,666,667
3931,476,476,432
3936,122,122,78
3941,0.600,0,0
3946,3.73,0,0
3951,7,0,0
3956,9.87,0,0
3961,10.4,0,0
3966,10.6,0,0
3971,10.9,0,0
3976,10.9,0,0
3981,11.2,0,0
3986,11.4,0,0
3991,11.5,0,0
3996,11.9,0,0
4001,12,0,0
4006,12.4,0,0
4011,12.5,0,0
4016,12.7,0,0
4021,13.1,0,0
4026,13.3,0,0
4031,13.8,0,0
4036,14,0,0
4041,14.3,0,0
4046,14.7,0,0
4051,15,0,0
4056,15.4,0,0
4061,15.7,0,0
4066,16.3,0,0
4071,16.7,0,0
4076,17.2,0,0
4081,17.7,0,0
4086,18.1,0,0
4091,18.7,0,0
4096,19.4,0,0
4101,20,0,0
4106,20.7,0,0
4111,21.4,0,0
4116,22.3,0,0
4121,23.1,0,0
4126,23.9,0,0
4131,24.9,0,0
4136,26,0,0
4141,27.3,0,0
4146,28.6,0,0
4151,30,0,0
4156,31.5,0,0
4161,33.2,0,0
4166,35.1,0,0
4171,37.4,0,0
4176,39.7,0,0
4181,42.6,0,0
4186,45.8,0,0
4191,49.7,0,0
4196,54.1,0,0
4201,59.5,0,0
4206,65.9,0,0
4211,74.1,0,0
4216,84.6,0,0
4221,98.8,0,0
4226,92.6,0,0
4231,82.1,0,0
4236,67.9,0,0
4241,74,0,0
4246,62,0,0
4251,37.7,0,0
4256,9.80,0,0
4261,0,0,0
4266,0,0,0
4271,0,0,0
4276,0,0,0
4281,0,0,0
4286,0,0,0
4291,0,0,0
4296,0,0,0
4301,0,0,0
4311,0,0,
4316,0.727,0.727,
4321,0.661,0.661,
4326,0.600,0.600,
4331,0.0667,0.0667,
4336,0,0,
4341,6.15,6.15,10.6
4346,19.4,19.4,22.7
4351,34.7,34.7,35.4
4356,47.9,47.9,48.4
4361,50.1,50.1,49.8
4366,49.9,49.9,49.7
4371,43.7,43.7,40.5
4376,29.1,29.1,25.4
4381,12.5,12.5,9.10
4386,2.07,2.07,1.43
4391,0,0,0
4396,1.93,1.93,7.17
4401,43.3,43.2,62
4406,124,124,145
4411,206,206,221
4416,248,248,249
4421,250,250,250
4426,248,248,242
4431,207,207,188
4436,126,126,105
4441,44.5,44.6,29.8
4446,2.40,2.40,0.867
4451,1.13,1.13,11.2
4456,60.6,60.6,81
4461,163,163,204
4466,328,328,359
4471,436,436,456
4476,500,500,500
4481,499,499,489
4486,439,439,419
4491,337,337,296
4496,172,172,141
4501,64.5,64.5,44.0
4506,0,0,0.0500
4511,0,0,0
4516,17.5,17.5,47.5
4521,139,139,177
4526,297,297,337
4531,440,440,450
4536,479,479,481
4541,482,482,482
4546,482,482,482
4551,483,483,483
4556,482,482,484
4561,495,495,499
