"Time","Cumulative (Received)","Cumulative (Endorsed Successfully)","Cumulative (Committed Successfully)"
2026-04-20 10:25:25,130987,130980,133731
2026-04-20 10:25:30,135891,135889,138591
2026-04-20 10:25:35,140769,140766,143501
2026-04-20 10:25:40,145637,145634,148331
2026-04-20 10:25:45,150519,150519,153211
2026-04-20 10:25:50,155386,155383,158091
2026-04-20 10:25:55,160259,160255,162961
2026-04-20 10:26:00,165143,165140,167861
2026-04-20 10:26:05,169997,169995,172691
2026-04-20 10:26:10,174853,174848,177511
2026-04-20 10:26:15,179688,179685,182381
2026-04-20 10:26:20,184511,184503,187221
2026-04-20 10:26:25,189397,189393,192071
2026-04-20 10:26:30,194243,194240,196981
2026-04-20 10:26:35,199126,199123,201851
2026-04-20 10:26:40,203984,203979,206651
2026-04-20 10:26:45,208811,208805,211531
2026-04-20 10:26:50,213735,213734,216431
2026-04-20 10:26:55,218645,218637,221371
2026-04-20 10:27:00,223526,223524,226281
2026-04-20 10:27:05,228490,228487,231171
2026-04-20 10:27:10,233344,233337,236041
2026-04-20 10:27:15,238184,238181,240941
2026-04-20 10:27:20,243126,243123,245811
2026-04-20 10:27:25,248012,248003,250721
2026-04-20 10:27:30,252872,252872,255631
2026-04-20 10:27:35,257835,257826,260521
2026-04-20 10:27:40,262252,262252,263591
2026-04-20 10:27:45,264682,264682,264794
2026-04-20 10:27:50,264807,264807,264794
2026-04-20 10:27:55,264807,264807,264794
2026-04-20 10:28:00,264807,264807,264794
2026-04-20 10:28:05,264807,264807,264800
2026-04-20 10:28:10,266423,266420,268420
2026-04-20 10:28:15,270553,270546,272670
2026-04-20 10:28:20,274185,274185,274790
2026-04-20 10:28:25,274807,274807,274794
2026-04-20 10:28:30,274807,274807,274794
2026-04-20 10:28:35,274807,274807,274794
2026-04-20 10:28:40,274807,274807,274794
2026-04-20 10:28:45,274815,274807,274794
2026-04-20 10:28:50,274839,274807,274794
2026-04-20 10:28:55,274877,274807,274794
2026-04-20 10:29:00,274929,274807,274794
2026-04-20 10:29:05,274983,274807,274794
2026-04-20 10:29:10,275035,274807,274794
2026-04-20 10:29:15,275089,274807,274794
2026-04-20 10:29:20,275145,274807,274794
2026-04-20 10:29:25,275200,274807,274794
2026-04-20 10:29:30,275259,274807,274794
