Time,Avg Endorsement Latency
3225,0.00214
3230,0.00209
3235,0.00148
3240,0.00135
3245,0.00132
3250,0.00134
3255,0.00135
3260,NaN
3265,NaN
3270,NaN
3275,NaN
3280,NaN
3285,0.00134
3290,0.00164
3295,0.00160
3300,0.00163
3305,0.00161
3310,0.00161
3315,0.00162
3320,0.00176
3325,0.00214
3330,0.00291
3335,0.00393
3340,0.00501
3345,0.00538
3350,0.00535
3355,0.00550
3360,0.00555
3365,0.00572
3370,0.00579
3375,0.00757
3380,0.00818
3385,0.00847
3390,0.00805
3395,0.00867
3400,0.00871
3405,0.00979
3410,0.0112
3415,0.0224
3420,0.0344
3425,0.0452
3430,0.0440
3435,0.0365
3440,0.0267
3445,0.0358
3450,0.0461
3455,0.0616
3460,0.123
3465,0.244
3470,0.271
3475,0.259
3480,0.147
3485,0.217
3490,0.205
3495,0.248
3500,0.230
3505,0.271
3510,0.152
3515,0.107
3520,0.174
3525,0.185
3530,0.198
3535,0.159
3540,0.145
3545,0.131
3550,0.134
3555,0.130
3560,0.195
3565,0.179
3570,0.186
3575,0.147
3580,0.136
3585,0.147
3590,0.116
3595,0.0752
3600,0.0110
3605,0.00890
3610,0.00659
3615,0.00824
3620,0.00784
3625,0.00696
3630,0.00330
3635,0.00241
3640,0.00244
3645,NaN
3650,NaN
3655,NaN
3660,NaN
3665,NaN
3670,NaN
3675,NaN
3680,0.00245
3685,0.00538
3690,0.0106
3695,0.00898
3700,0.00834
3705,0.00266
3710,0.00237
3715,0.00229
3720,0.00225
3725,0.00227
3730,0.00228
3735,0.00240
3740,NaN
3745,NaN
3750,NaN
3755,NaN
3760,NaN
3765,NaN
3770,NaN
3775,NaN
3780,NaN
3785,NaN
3790,NaN
3795,21.5
3800,21.5
3805,24.0
3810,28.8
3815,28.8
3820,NaN
3825,NaN
3830,NaN
3835,NaN
3840,NaN
3845,NaN
3850,NaN
3855,NaN
3860,NaN
3865,NaN
3870,NaN
3875,NaN
3880,NaN
3885,NaN
3890,NaN
3895,NaN
3900,NaN
3905,NaN
3910,NaN
3915,NaN
3920,NaN
3925,NaN
3930,NaN
3935,NaN
3940,NaN
3945,NaN
3950,NaN
3955,NaN
3960,NaN
3965,NaN
3970,NaN
3975,NaN
3980,NaN
3985,NaN
3990,NaN
3995,NaN
4000,NaN
4005,NaN
4010,NaN
4015,NaN
4020,NaN
4025,NaN
4030,NaN
4035,NaN
4040,NaN
4045,NaN
4050,NaN
4055,NaN
4060,NaN
4065,NaN
4070,NaN
4075,NaN
4080,NaN
4085,NaN
4090,NaN
4095,NaN
4100,NaN
4105,NaN
4110,NaN
4115,NaN
4120,NaN
4125,NaN
